Origin,Destination,Airline_name1,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Fare,Base price,GST,Currency,Scraped_at time,Source
BLR,PNQ,Air India Express,IX-2680,Non-stop,9/2/2026,21:50,23:30,4467,4254.29,212.71,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,Air India Express,IX-2873,Non-stop,9/2/2026,4:00,5:35,4467,4254.29,212.71,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6E-6876,Non-stop,9/2/2026,2:40,4:05,4468,4255.24,212.76,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6.00E-173,Non-stop,9/2/2026,15:30,17:00,4468,4255.24,212.76,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6E-6563,Non-stop,9/2/2026,1:05,2:35,4468,4255.24,212.76,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6E-408,Non-stop,9/2/2026,4:30,6:00,4468,4255.24,212.76,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6E-6563,Non-stop,9/16/2026,1:05,2:35,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-408,Non-stop,9/16/2026,4:30,6:00,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-528,Non-stop,9/2/2026,21:40,23:10,4468,4255.24,212.76,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6.00E-116,Non-stop,9/2/2026,23:05,0:45,4468,4255.24,212.76,INR,9/1/2026 6:44,Cleartrip
BLR,PNQ,IndiGo,6E-408,Non-stop,9/8/2026,4:30,6:00,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-528,Non-stop,9/8/2026,21:40,23:10,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6.00E-116,Non-stop,9/8/2026,23:05,0:45,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-6563,Non-stop,9/8/2026,1:05,2:35,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-6876,Non-stop,9/16/2026,2:40,4:05,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-6563,Non-stop,10/1/2026,1:05,2:35,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6.00E-173,Non-stop,9/16/2026,15:30,17:00,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6.00E-116,Non-stop,9/16/2026,23:05,0:45,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-6876,Non-stop,9/8/2026,2:40,4:05,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,IndiGo,6E-6876,Non-stop,10/1/2026,2:40,4:05,4468,4255.24,212.76,INR,9/1/2026 6:45,Cleartrip
AMD,BOM,IndiGo,6E-6351,Non-stop,9/8/2026,23:15,0:30,4478,4264.76,213.24,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,IndiGo,6E-6351,Non-stop,9/16/2026,23:15,0:30,4478,4264.76,213.24,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,Star Air,S5-628,1 stop,10/16/2026,6:40,9:15,4499,4284.76,214.24,INR,9/1/2026 6:44,Cleartrip
BLR,HYD,IndiGo,6E-6208,1 stop,9/8/2026,12:50,17:25,4553,4336.19,216.81,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6.00E-182,1 stop,9/8/2026,15:00,19:35,4553,4336.19,216.81,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6168,1 stop,9/8/2026,17:40,21:15,4553,4336.19,216.81,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6017,1 stop,9/8/2026,18:15,22:40,4553,4336.19,216.81,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6.00E-116,1 stop,9/8/2026,23:05,3:10,4553,4336.19,216.81,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-356,1 stop,9/8/2026,17:15,21:25,4553,4336.19,216.81,INR,9/1/2026 6:39,Cleartrip
