Origin,Destination,Airline name,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Duration,Fare,Base price,GST,Currency,Seats_left,Scraped_at time,Source
Chennai,New Delhi,IndiGo,6E-6925,1 Stop,2026-09-26,12:00,16:55,04h 55m,10334.0,9841.9,492.1,INR,9 Seats Left,2026-08-27 08:15:14,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 676,Nonstop,2026-10-11,18:30,21:10,02h 40m,10335.0,9842.86,492.14,INR,3 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,AkasaAir,QP-1264,Nonstop,2026-10-11,21:10,23:35,02h 25m,10395.0,9900.0,495.0,INR,2 Seats Left,2026-08-27 08:17:37,EaseMyTrip
New Delhi,Kolkata,IndiGo,6E-2614,1 Stop,2026-10-11,14:40,19:05,04h 25m,10514.0,10013.33,500.67,INR,4 Seats Left,2026-08-27 08:13:21,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 952,Nonstop,2026-10-11,22:20,01:00,02h 40m,10650.0,10142.86,507.14,INR,,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E-6208,1 Stop,2026-10-11,12:45,17:30,04h 45m,10836.0,10320.0,516.0,INR,3 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 904,1 Stop,2026-10-11,10:50,17:30,06h 40m,10836.0,10320.0,516.0,INR,5 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E-6077,1 Stop,2026-10-11,20:20,01:45,05h 25m,10836.0,10320.0,516.0,INR,4 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 223,Nonstop,2026-10-11,17:05,19:55,02h 50m,11070.0,10542.86,527.14,INR,6 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-2209,Nonstop,2026-08-28,05:00,06:45,01h 45m,11300.0,10761.9,538.1,INR,3 Seats Left,2026-08-27 08:13:33,EaseMyTrip
Bengaluru,Kolkata,Air India Express,IX-1370,Nonstop,2026-10-11,22:15,00:50,02h 35m,11309.0,10770.48,538.52,INR,5 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 227,Nonstop,2026-10-11,05:00,07:35,02h 35m,11490.0,10942.86,547.14,INR,1 Seat Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 855,1 Stop,2026-10-11,19:45,00:25,04h 40m,11718.0,11160.0,558.0,INR,5 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 638,1 Stop,2026-10-11,18:35,00:25,05h 50m,11718.0,11160.0,558.0,INR,5 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 975,Nonstop,2026-10-11,20:20,23:00,02h 40m,11805.0,11242.86,562.14,INR,9 Seats Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E- 172,Nonstop,2026-10-11,13:40,16:20,02h 40m,11805.0,11242.86,562.14,INR,1 Seat Left,2026-08-27 08:17:37,EaseMyTrip
Bengaluru,Kolkata,IndiGo,6E-6801,1 Stop,2026-10-11,08:25,13:45,05h 20m,11928.0,11360.0,568.0,INR,1 Seat Left,2026-08-27 08:17:37,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-7261,1 Stop,2026-08-28,15:40,23:25,07h 45m,12261.0,11677.14,583.86,INR,5 Seats Left,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,IndiGo,6E-5385,Nonstop,2026-08-28,00:05,02:00,01h 55m,12350.0,11761.9,588.1,INR,1 Seat Left,2026-08-27 08:13:33,EaseMyTrip
Ahmedabad,New Delhi,AkasaAir,QP-1194,1 Stop,2026-09-03,04:45,12:45,08h 00m,12762.0,12154.29,607.71,INR,8 Seats Left,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,Noida,AkasaAir,QP-1194,1 Stop,2026-09-03,04:45,12:35,07h 50m,12814.0,12203.81,610.19,INR,8 Seats Left,2026-08-27 08:13:46,EaseMyTrip
Ahmedabad,New Delhi,Air India,AI-2494,1 Stop,2026-08-28,21:30,11:20,13h 50m,13594.0,12946.67,647.33,INR,4 Seats Left,2026-08-27 08:13:33,EaseMyTrip
